"Utbildningsgrupper","Radetiketter"
"Byggnadsantikvarier och kulturvård","Bebyggelseantikvarie"
"Byggnadsantikvarier och kulturvård","Byggnadsantikvarie"
"Byggnadsantikvarier och kulturvård","Byggnadsvård"
"Byggnadsantikvarier och kulturvård","Hemslöjdsutb, trä o metallinr"
"Byggnadsantikvarier och kulturvård","Hemslöjdsutbildning"
"Byggnadsantikvarier och kulturvård","Hemslöjdsutbildning, textilinr"
"Byggnadsantikvarier och kulturvård","Konservatorsutbildning"
"Byggnadsantikvarier och kulturvård","Konsthantverk"
"Byggnadsantikvarier och kulturvård","Kulturvård"
"Byggnadsantikvarier och kulturvård","Humaniora: Kulturvård"
"Uppgift saknas, samt tom","Uppgift saknas"
"Uppgift saknas, samt tom","(tom)"
"Uppgift saknas, samt tom",""
"Logopedutbildning","Logopedutbildning"
"Arkiv och dokumentation","Arkivkunskap o dokumenthanteri"
"Arkiv och dokumentation","Arkivvetenskap"
"Arkiv och dokumentation","Humaniora: Arkivvetenskap"
"Arkiv och dokumentation","Data- o systemvetenskap"
"Arkiv och dokumentation","Datalingvistik"
"Arkiv och dokumentation","Datavetenskap (matematisk)"
"Arkiv och dokumentation","Dokumentations- o info.vetensk"
"Arkiv och dokumentation","Systemvetenskap"
"Bibliotek och information","Humaniora: Bibliotek- och informationsvetenskap"
"Bibliotek och information","Bibliotekarieutbildning"
"Bibliotek och information","Biblioteks- o informationsvet."
"Bibliotek och information","Informationsdesign"
"Bibliotek och information","Informationsteknologi/datatekn"
"Arkeologi","Arkeologi"
"Arkeologi","Humaniora: Arkeologi"
"Arkeologi","Medeltidsarkeologi"
"Humaniora","Antikens kultur- o samhällsliv"
"Humaniora","Arkitekturhistoria (motsv)"
"Humaniora","Beteendevetenskap"
"Humaniora","Bildlärare"
"Humaniora","Bildpedagogik"
"Humaniora","Bok- o bibliotekshistoria"
"Humaniora","Dansvetenskap/-historia"
"Humaniora","Drama/Teater/Film"
"Humaniora","Egyptologi"
"Humaniora","Ekonomisk historia"
"Humaniora","Estetik"
"Humaniora","Etnologi"
"Humaniora","Filmvetenskap/-historia"
"Humaniora","Filosofi"
"Humaniora","Freds- och konfliktforskning"
"Humaniora","Genusvetenskap"
"Humaniora","Historia"
"Humaniora","Humaniora, ABM"
"Humaniora","Humaniora, allmän inriktning"
"Humaniora","Humaniora: Antikens kultur och samhällsliv"
"Humaniora","Humaniora: Antropologi"
"Humaniora","Humaniora: Etnologi"
"Humaniora","Humaniora: Filmvetenskap"
"Humaniora","Humaniora: Filosofi"
"Humaniora","Humaniora: Historia"
"Humaniora","Humaniora: Idé- och lärdomshistoria"
"Humaniora","Humaniora: Konstvetenskap"
"Humaniora","Humaniora: Kultur"
"Humaniora","Humaniora: Litteraturvetenskap"
"Humaniora","Humaniora: Museivetenskap/museologi"
"Humaniora","Humaniora: Musikvetenskap"
"Humaniora","Humaniora: Osteologi"
"Humaniora","Humaniora: Religionsvetenskap"
"Humaniora","Humaniora: Textilvetenskap"
"Humaniora","Humaniora: Turism"
"Humaniora","Idé- och lärdomshistoria"
"Humaniora","Industri- och teknikhistoria"
"Humaniora","Konst- och bildvetenskap"
"Humaniora","Konstnärlig högskoleutbildning"
"Humaniora","Konstvetenskap/-historia"
"Humaniora","Litteraturvetenskap/-historia"
"Humaniora","Museologi/Museivetenskap"
"Humaniora","Musik"
"Humaniora","Musikvetenskap/-historia"
"Humaniora","Osteologi (historisk)"
"Humaniora","Religionshistoria/-vetenskap"
"Humaniora","Utbildning i religion"
"Humaniora","Samhälsvetenskap"
"Humaniora","Socialantropologi"
"Humaniora","Teatervetenskap/-historia"
"Humaniora","Teologi"
"Humaniora","Vetenskapsteori"
"Språk","Arabiska"
"Språk","Humaniora: Retorik"
"Språk","Humaniora: Språk"
"Språk","Engelska"
"Språk","Franska"
"Språk","Finska, Finsk-Ugriska språk"
"Språk","Fonetik"
"Språk","Klassiska språk (latin m fl)"
"Språk","Lingvistik"
"Språk","Humaniora: Lingvistik"
"Språk","Moderna språk"
"Språk","Nordiska språk"
"Språk","Retorik"
"Språk","Ryska"
"Språk","Samiska"
"Språk","Spanska"
"Språk","Språk (främmande språk)"
"Språk","Språkvetenskap"
"Språk","Svenska"
"Språk","Svenska som främmande språk"
"Språk","Teckenspråk"
"Språk","Tyska"
"Språk","Vuxendövtolk"
"Språk","Översättning, facköversättning"
"Kommunikation och media","Film-, radio- och TV-produktio"
"Kommunikation och media","Formgivning, design"
"Kommunikation och media","Foto, fotografi"
"Kommunikation och media","Grafisk design"
"Kommunikation och media","Grafisk teknik och bokbinderi"
"Kommunikation och media","Illustration, reklam, grafisk"
"Kommunikation och media","Industri- och produktdesign"
"Kommunikation och media","Inredningsdesign"
"Kommunikation och media","Journalistik"
"Kommunikation och media","Marknadsföring"
"Kommunikation och media","Medie- o kommunikationsvetensk, MKV"
"Kommunikation och media","Medieproduktion"
"Kommunikation och media","Film-, radio- och TV-produktion"
"Kommunikation och media","MKV: Design och formgivning"
"Kommunikation och media","MKV: Grafisk design"
"Kommunikation och media","MKV: Industriell design"
"Kommunikation och media","MKV: Informationsvetenskap"
"Kommunikation och media","MKV: Journalistik"
"Kommunikation och media","MKV: Kommunikationsvetenskap"
"Kommunikation och media","MKV: Kultur- och mediagestaltning"
"Kommunikation och media","MKV: Medie- och kommunikationsvetenskap"
"Kommunikation och media","MKV: Medieteknik"
"Kommunikation och media","Modedesign"
"Kommunikation och media","Multimedia"
"Kommunikation och media","Redaktörsprogram"
"Kommunikation och media","Reklamutbildning"
"Kommunikation och media","Textdesign"
"Kommunikation och media","Textildesign"
"Kulturvetenskap","Administration och förvaltning"
"Kulturvetenskap","Humaniora: Samhälls- och kulturanalys"
"Kulturvetenskap","Kulturadministration"
"Kulturvetenskap","Kulturanalys"
"Kulturvetenskap","Kulturantropologi"
"Kulturvetenskap","Kulturgeografi"
"Kulturvetenskap","Kulturpedagogik"
"Kulturvetenskap","Kulturturism"
"Kulturvetenskap","Kulturvetenskap"
"Kulturvetenskap","Turism"
"Övrigt","ADB"
"Övrigt","Agronomi/Aronom"
"Övrigt","Apotekarutbildning"
"Övrigt","Arbetsterapi"
"Övrigt","Arkitektutbildning"
"Övrigt","Astronomi"
"Övrigt","Audionomutbildning"
"Övrigt","Audionomutbildning, hörselvård"
"Övrigt","Biogeovetenskap"
"Övrigt","Biokemi"
"Övrigt","Biologi"
"Övrigt","Biomedicinsk analytiker/labvet"
"Övrigt","Bioteknik"
"Övrigt","Botanik"
"Övrigt","Civilingenjör"
"Övrigt","Dans"
"Övrigt","ej univ"
"Övrigt","Ekologi"
"Övrigt","Ekonomi"
"Övrigt","Elektronik"
"Kulturvetenskap","Film-"
"Språk","Finska"
"Övrigt","Folkhälsovetenskap"
"Övrigt","Folkskollärare"
"Kommunikation och media","Formgivning"
"Kommunikation och media","Foto"
"Övrigt","Fritidspedagog/lärare"
"Övrigt","Fysik"
"Övrigt","Företagsekonomi"
"Övrigt","Förskollärare"
"Övrigt","Genetik"
"Övrigt","Geografi"
"Övrigt","Geologi"
"Övrigt","Geovetenskap"
"Övrigt","Grundskollärare"
"Byggnadsantikvarier och kulturvård","Hemslöjdsutb"
"Humaniora","Humaniora"
"Övrigt","Hälso- och sjukvård"
"Övrigt","Idrott"
"Kommunikation och media","Illustration"
"Övrigt","Ingenjörsutbildning"
"Övrigt","Inredningsarkitekt"
"Övrigt","Juristutbildning (jur kand)"
"Övrigt","Kemi"
"Övrigt","Läkare"
"Övrigt","Lärarutbildning"
"Övrigt","Matematik"
"Övrigt","Medicin"
"Kommunikation och media","Medie- o kommunikationsvetensk"
"Kommunikation och media","Kommunikation och pr-programmet"
"Övrigt","Mellanstadielärare"
"Övrigt","Miljövetenskap"
"Övrigt","Molekylärbiologi"
"Övrigt","Naturgeografi"
"Övrigt","Naturresurshushållning"
"Övrigt","Naturvetenskap"
"Övrigt","Neurobiologi"
"Övrigt","Rättsvetenskap"
"Övrigt","Samhällsvetenskap"
"Övrigt","Sjuksköterskeutbildning"
"Övrigt","Sociologi"
"Övrigt","Socionomutbildning"
"Övrigt","Specialpedagog"
"Övrigt","Statistik"
"Övrigt","Teknik"
"Övrigt","Zoologi"
"Övrigt","Zooekologi"
"Övrigt","Kostvetenskap (motsv)"
"Språk","Översättning"
"Övrigt","Pedagogik"
"Övrigt","Lärarutbildning, yrkesämne"
"Övrigt","Psykologi"
"Övrigt","Scoiologi"
"Övrigt","Socionomutbidning"
"Övrigt","Statsvetenskap"
"Övrigt","Ämneslärare"
